doi,author,editor,isbn,issn,journal,note,number,pages,publisher,title,url,volume,year
10.1111/j.1600-0587.2010.06237.x,"Laffan, Shawn W. and Lubarsky, Eugene and Rosauer, Dan F.",,,1600-0587,Ecography,,4,643–647,Wiley,"Biodiverse, a tool for the spatial analysis of biological and related diversity",http://dx.doi.org/10.1111/j.1600-0587.2010.06237.x,33,2010
10.21829/abm131.2024.2367,"Ruiz-Flores, Sara Isabel and Castro-Castro, Arturo",,,0187-7151,Acta Botanica Mexicana,in press,131,,"Instituto de Ecologia, A.C.","Distribución, riqueza, endemismo y conservación del género Dasylirion (Asparagaceae, Convallarioideae)",http://dx.doi.org/10.21829/abm131.2024.2367,,2024
10.1016/j.jclepro.2024.143783,"Ali, Maroof and Huang, Zhongde and Bai, Yang and Tng, David Y.P. and Qin, Fei and Fang, Zhou",,,0959-6526,Journal of Cleaner Production,in press,,143783,Elsevier BV,A multifaceted approach to expanding conservation efforts in the Pan-Himalayan landscape,http://dx.doi.org/10.1016/j.jclepro.2024.143783,476,2024
10.1111/jse.13077,"Folk, Ryan A. and Maassoumi, Aliasghar A. and Siniscalchi, Carolina M. and Kates, Heather R. and Soltis, Douglas E. and Soltis, Pamela S. and Belitz, Michael B. and Guralnick, Robert P.",,,1759-6831,Journal of Systematics and Evolution,in press,,,Wiley,Phylogenetic diversity and regionalization in the temperate arid zone,http://dx.doi.org/10.1111/jse.13077,,2024
10.1111/jse.13067,"Aagesen, Lone and Salariato, Diego L. and Scataglini, María A. and Acosta, Juan M. and Denham, Silvia S. and Delfini, Carolina",,,1759-6831,Journal of Systematics and Evolution,in press,,,Wiley,Spatial phylogenetics of grasses in the Southern Cone provides insights into ecology and evolution of the family in South America,http://dx.doi.org/10.1111/jse.13067,,2024
10.21203/rs.3.rs-4249551/v1,"Torkkola, Janne and Hines, Harry and Chauvenet, Alienor and Oliver, Paul",,,,,preprint,,,Springer Science and Business Media LLC,Are species richness and endemism hotspots correlated within a biome? A test case in the fire-impacted subtropical rainforests of Australia,http://dx.doi.org/10.21203/rs.3.rs-4249551/v1,,2024
10.1101/2023.09.08.556918,"Folk, R.A and Belitz, M.W. and Siniscalchi, C.M. and Kates, H.R. and Soltis, D.E. and Soltis, P.S. and Guralnick, R.P. and Borges, L.M.",,,,,preprint,,,Cold Spring Harbor Laboratory,Phylogenetic diversity and regionalization of root nodule symbiosis,http://dx.doi.org/10.1101/2023.09.08.556918,,2023
10.1590/1676-0611-bn-2024-1648,"Aragón-Parada, Juvenal and Munguía-Lino, Guadalupe and De-Nova, José Arturo and Carrillo-Reyes, Pablo and Rodríguez, Aarón and Salinas-Rodríguez, María Magdalena",,,1676-0611,Biota Neotropica,,3,,FapUNIFESP (SciELO),"Priority areas for conservation of the vascular flora in the Sierra Madre del Sur, Mexico",http://dx.doi.org/10.1590/1676-0611-BN-2024-1648,24,2024
10.1007/s40415-024-01005-y,"Estrada-Sánchez, Iveth and Espejo-Serna, Adolfo and García-Cruz, Javier and López-Ferrari, Ana Rosa",,,1806-9959,Brazilian Journal of Botany,,2,501–517,Springer Science and Business Media LLC,"Richness, distribution, and endemism of neotropical subtribe Ponerinae (Orchidaceae, Epidendreae)",http://dx.doi.org/10.1007/s40415-024-01005-y,47,2024
10.1111/jzo.13173,"Flanagan, T. and Shea, G. M. and Roll, U. and Tingley, R. and Meiri, S. and Chapple, D. G.",,,1469-7998,Journal of Zoology,,4,317–330,Wiley,New data and taxonomic changes influence our understanding of biogeographic patterns: A case study in Australian skinks,http://dx.doi.org/10.1111/jzo.13173,323,2024
10.1111/jvs.13261,"Flores‐Tolentino, Mayra and Villaseñor, José Luis and Ibarra‐Manríquez, Guillermo and Rodríguez, Rolando Ramírez and Morales‐Linares, Jonas and Dorado, Óscar",,,1654-1103,Journal of Vegetation Science,,3,,Wiley,"The use of ecological niche models improves biogeographic regionalization of the Balsas Depression, Mexico",http://dx.doi.org/10.1111/jvs.13261,35,2024
10.1111/jbi.14840,"Folk, R. A. and Siniscalchi, C. M. and Doby, J. and Kates, H. R. and Manchester, S. R. and Soltis, P. S. and Soltis, D. E. and Guralnick, R. P. and Belitz, M.",,,1365-2699,Journal of Biogeography,,8,1518–1532,Wiley,Spatial phylogenetics of Fagales: Investigating drivers of temperate forest distributions,http://dx.doi.org/10.1111/jbi.14840,51,2024
10.1002/csc2.21143,"González‐Orozco, Carlos E. and Reyes‐Herrera, Paula H. and Sosa, Chrystian C. and Torres, Rosa T. and Manrique‐Carpintero, Norma C. and Lasso‐Paredes, Zahara and Cerón‐Souza, Ivania and Yockteng, Roxana",,,1435-0653,Crop Science,,1,225–243,Wiley,Wild relatives of potato (Solanum L. sec. Petota) poorly sampled and unprotected in Colombia,http://dx.doi.org/10.1002/csc2.21143,64,2023
10.7717/peerj.17242,"Hazzi, Nicolas and Hormiga, Gustavo",,,2167-8359,PeerJ,,,e17242,PeerJ,"Systematics, distribution patterns and historical biogeography of the Central America wandering spider genus Kiekie Polotow &amp; Brescovit, 2018 (Araneae: Ctenidae)",http://dx.doi.org/10.7717/peerj.17242,12,2024
10.1080/12298093.2023.2297485,"Kherlenchimeg, Nyamsuren and Burenbaatar, Ganbaatar and Baasanmunkh, Shukherdorj and Tsegmed, Zagarjav and Urgamal, Magsar and Bau, Tolgor and Han, Sang-Kuk and Oh, Seung-Yoon and Choi, Hyeok Jae",,,2092-9323,Mycobiology,,1,13–29,Informa UK Limited,"Improved Understanding of the Macrofungal Diversity of Mongolia: Species Richness, Conservation Status, and An Annotated Checklist",http://dx.doi.org/10.1080/12298093.2023.2297485,52,2024
10.1186/s12862-024-02263-w,"Li, Yigang and Liu, Fan and Zhou, Yadong and Liu, Xing and Wang, Qingfeng",,,2730-7182,BMC Ecology and Evolution,,1,,Springer Science and Business Media LLC,Large-scale geographic patterns and environmental and anthropogenic drivers of wetland plant diversity in the Qinghai-Tibet Plateau,http://dx.doi.org/10.1186/s12862-024-02263-w,24,2024
10.11646/phytotaxa.641.1.3,"LÓPEZ-PÉREZ, JORGE DAVID and ZAMUDIO, SERGIO and MUNGUÍA-LINO, GUADALUPE and RODRÍGUEZ, AARÓN",,,1179-3155,Phytotaxa,,1,31–46,Magnolia Press,"Species richness, geographic distribution and endemism of Pinguicula (Lentibulariaceae) in the Mexican Transition Zone",http://dx.doi.org/10.11646/phytotaxa.641.1.3,641,2024
10.1093/jmammal/gyae055,"Machado, Valéria Ribeiro and Pereira, Maria João Ramos and Tirelli, Flávia Pereira and Bennet, David and Ferrari, Augusto","Percequillo, Alexandre",,1545-1542,Journal of Mammalogy,,4,792–808,Oxford University Press (OUP),Endemism and regionalization of Neotropical mammals: a multi-taxon analysis,http://dx.doi.org/10.1093/jmammal/gyae055,105,2024
10.1186/s12862-024-02256-9,"Mikryukov, Vladimir and Abarenkov, Kessy and Laffan, Shawn and Robertson, Tim and McTavish, Emily Jane and Jeppesen, Thomas Stjernegaard and Waller, John and Blissett, Matthew and Kõljalg, Urmas and Miller, Joseph T.",,,2730-7182,BMC Ecology and Evolution,,1,,Springer Science and Business Media LLC,PhyloNext: a pipeline for phylogenetic diversity analysis of GBIF-mediated data,http://dx.doi.org/10.1186/s12862-024-02256-9,24,2024
10.1016/j.cub.2024.02.023,"Omollo, Wyckliffe Omondi and Rabarijaona, Romer Narindra and Ranaivoson, Rindra Manasoa and Rakotoarinivo, Mijoro and Barrett, Russell L. and Zhang, Qiang and Lai, Yang-Jun and Ye, Jian-Fei and Le, Chi Toan and Antonelli, Alexandre and Chen, Zhi-Duan and Liu, Bing and Lu, Li-Min",,,0960-9822,Current Biology,,6,1271-1283.e4,Elsevier BV,Spatial heterogeneity of neo- and paleo-endemism for plants in Madagascar,http://dx.doi.org/10.1016/j.cub.2024.02.023,34,2024
10.1371/journal.pone.0306440,"Pérez-Aragón, Manuela and Escribano, Ruben and Rivera, Reinaldo and Hidalgo, Pamela","Dam, Hans G.",,1932-6203,PLOS ONE,,7,e0306440,Public Library of Science (PLoS),Biodiversity patterns of epipelagic copepods in the South Pacific Ocean: Strengths and limitations of current data bases,http://dx.doi.org/10.1371/journal.pone.0306440,19,2024
10.1007/978-3-031-49255-6,,,9783031492556,,,,,,Springer International Publishing,Insect Decline and Conservation in the Neotropics,http://dx.doi.org/10.1007/978-3-031-49255-6,,2024
10.1002/inc3.67,"Radbouchoom, Sirilak and delos Angeles, Marjorie D. and Phutthai, Thamarat and Schneider, Harald",,,2770-9329,Integrative Conservation,,,,Wiley,Towards zero extinction—A case study focusing on the plant genus Begonia in Thailand,http://dx.doi.org/10.1002/inc3.67,,2024
10.1016/j.pld.2023.11.004,"Qian, Hong and Mishler, Brent D. and Zhang, Jian and Qian, Shenhua",,,2468-2659,Plant Diversity,,2,149–157,Elsevier BV,Global patterns and ecological drivers of taxonomic and phylogenetic endemism in angiosperm genera,http://dx.doi.org/10.1016/j.pld.2023.11.004,46,2024
10.1016/j.jaridenv.2024.105230,"Revollo-Cadima, Susana G. and Salazar-Bravo, Jorge",,,0140-1963,Journal of Arid Environments,,,105230,Elsevier BV,Identifying areas of conservation importance based on spatial patterns of evolutionary diversity for non-volant small mammals in the Andean Puna,http://dx.doi.org/10.1016/j.jaridenv.2024.105230,224,2024
10.1600/036364424x17151801116394,"Rodríguez, Aarón and López-Pérez, Jorge David and Munguía-Lino, Guadalupe",,,0363-6445,Systematic Botany,,2,295–317,American Society of Plant Taxonomists,"A New Species of Tigridia and Species Richness and Endemism Distribution of the Tribe Tigridieae (Iridaceae) in the Sierra Madre Del Sur, Mexico",http://dx.doi.org/10.1600/036364424X17151801116394,49,2024
10.17129/botsci.3467,"Sánchez-Romero, Abraham and Aragón-Parada, Juvenal",,,2007-4298,Botanical Sciences,,3,796–811,"Botanical Sciences, Sociedad Botanica de Mexico, AC","Riqueza de especies, endemismo y evaluación del riesgo de extinción del género &lt;em&gt;Bursera&lt;/em&gt; (Burseraceae) en la Península de Baja California",http://dx.doi.org/10.17129/botsci.3467,102,2024
10.17129/botsci.3462,"Sandoval-Mata, Tecoatlayopeuh Nelly and Hernández-Sandoval, Luis and Munguía-Lino, Guadalupe and Steinmann, Víctor W. and Delgado-Salinas, Alfonso",,,2007-4298,Botanical Sciences,,3,975–994,"Botanical Sciences, Sociedad Botanica de Mexico, AC",Regionalización de la provincia del Desierto Chihuahuense con base en la distribución de especies de &lt;em&gt;Dalea&lt;/em&gt; (Fabaceae),http://dx.doi.org/10.17129/botsci.3462,102,2024
10.3390/plants13182635,"Urgamal, Magsar and Baasanmunkh, Shukherdorj and Tsegmed, Zagarjav and Oyuntsetseg, Batlai and Javzandolgor, Chuluunbat and Yu, Sheng-Xiang and Yoon, Jung-Won and Cygan, Magdalena G. W. and Choi, Hyeok Jae",,,2223-7747,Plants,,18,2635,MDPI AG,Spatial Pattern Analysis and Conservation Assessment of Apiaceae in Mongolia,http://dx.doi.org/10.3390/plants13182635,13,2024
10.1163/22244662-bja10072,"Volis, Sergei and Tojibaev, Komiljon",,,2224-4662,Israel Journal of Ecology and Evolution,,,1–10,Brill,Comparison of maps of species richness and endemism produced directly from species occurrences with those produced by stacked species distribution modelling,http://dx.doi.org/10.1163/22244662-bja10072,,2023
10.1111/jse.13017,"Wang, Guo‐Qing and Scherson, Rosa A. and Vera, Diego and Bai, Yun‐Hao and Wen, Jun and Guo, Lin‐Yuan and Hughes, Alice C. and Wang, Hua‐Feng",,,1759-6831,Journal of Systematics and Evolution,,4,603–620,Wiley,"Spatial patterns and drivers of native plant diversity in Hainan, China",http://dx.doi.org/10.1111/jse.13017,62,2023
10.1016/j.jep.2024.118573,"Yao, Ruyu and Gao, Jiejing and Heinrich, Michael and Yu, Shengxiang and Xue, Tiantian and Zhang, Bengang and Wei, Xueping and Qi, Yaodong and Gao, Weiwei",,,0378-8741,Journal of Ethnopharmacology,,,118573,Elsevier BV,Medicinal plants used by minority ethnic groups in China: Taxonomic diversity and conservation needs,http://dx.doi.org/10.1016/j.jep.2024.118573,334,2024
10.1111/jbi.14679,"Aragón‐Parada, Juvenal and Carrillo‐Reyes, Pablo and Rodríguez, Aarón and Munguía‐Lino, Guadalupe and Salinas‐Rodríguez, María Magdalena and De‐Nova, José Arturo",,,1365-2699,Journal of Biogeography,,10,1679–1691,Wiley,"Spatial phylogenetics of the flora in the Sierra Madre del Sur, Mexico: Evolutionary puzzles in tropical mountains",http://dx.doi.org/10.1111/jbi.14679,50,2023
10.1007/s10530-022-02908-1,"Copilaș-Ciocianu, Denis and Sidorov, Dmitry and Šidagytė-Copilas, Eglė",,,1573-1464,Biological Invasions,,1,179–195,Springer Science and Business Media LLC,Global distribution and diversity of alien Ponto-Caspian amphipods,http://dx.doi.org/10.1007/s10530-022-02908-1,25,2022
10.1007/s10531-023-02706-8,"de Pedro, Diego and Ceccarelli, Fadia Sara and Vandame, Rémy and Mérida, Jorge and Sagot, Philippe",,,1572-9710,Biodiversity and Conservation,,13,4445–4459,Springer Science and Business Media LLC,Congruence between species richness and phylogenetic diversity in North America for the bee genus Diadasia (Hymenoptera: Apidae),http://dx.doi.org/10.1007/s10531-023-02706-8,32,2023
10.1007/978-981-99-0131-9,,,9789819901319,,,,,,Springer Nature Singapore,Ecosystem and Species Habitat Modeling for Conservation and Restoration,http://dx.doi.org/10.1007/978-981-99-0131-9,,2023
10.1016/j.gecco.2023.e02647,"Erst, Andrey S. and Baasanmunkh, Shukherdorj and Tsegmed, Zagarjav and Oyundelger, Khurelpurev and Sharples, Mathew T. and Oyuntsetseg, Batlai and Krivenko, Denis A. and Gureyeva, Irina I. and Romanets, Roman R. and Kuznetsov, Alexander A. and Kechaykin, Alexey A. and Shmakov, Alexander I. and Maltseva, Svetlana Yu. and Erst, Tatiana V. and Wang, Wei and Gil, Hee-Young and Choi, Hyeok Jae",,,2351-9894,Global Ecology and Conservation,,,e02647,Elsevier BV,Hotspot and conservation gap analysis of endemic vascular plants in the Altai Mountain Country based on a new global conservation assessment,http://dx.doi.org/10.1016/j.gecco.2023.e02647,47,2023
10.1590/1677-941x-abb-2022-0314,"Fernandes, Natália Brandão Gonçalves and Moraes, Andreza Magro and Milward-de-Azevedo, Michaele Alvim",,,0102-3306,Acta Botanica Brasilica,,,,FapUNIFESP (SciELO),"Diversity of the Passiflora L. in the Serra do Mar ecoregion and the relationships with environmental gradients, South and Southeast, Brazil",http://dx.doi.org/10.1590/1677-941X-ABB-2022-0314,37,2023
10.17129/botsci.3169,"Flores-Argüelles, Alejandra and López-Ferrari, Ana Rosa and Espejo-Serna, Adolfo",,,2007-4298,Botanical Sciences,,2,527–543,"Botanical Sciences, Sociedad Botanica de Mexico, AC","Geographic distribution and endemism of Bromeliaceae from the Western Sierra-Coast region of Jalisco, Mexico",http://dx.doi.org/10.17129/botsci.3169,101,2023
10.22201/ib.20078706e.2023.94.4985,"Flores-Tolentino, Mayra and Ramírez-Rodríguez, J. Rolando and Morales-Linares, Jonas and Ibarra-Manríquez, Guillermo and Dorado, Óscar and Villaseñor, José Luis",,,1870-3453,Revista Mexicana de Biodiversidad,,,e944985,Universidad Nacional Autonoma de Mexico,"Delimitación geográfica y florística de la provincia  fisiográfica de la Depresión del Balsas, México,  con énfasis en el bosque tropical estacionalmente seco",http://dx.doi.org/10.22201/ib.20078706e.2023.94.4985,94,2023
10.21829/abm130.2023.2213,"Francisco-Gutiérrez, Antonio and Ruiz-Sanchez, Eduardo and Lira-Noriega, Andrés",,,0187-7151,Acta Botanica Mexicana,,130,,"Instituto de Ecologia, A.C.",Biogeografía y evaluaciones de conservación de las especies de Lamourouxia (Orobanchaceae),http://dx.doi.org/10.21829/abm130.2023.2213,,2023
10.3389/fsufs.2023.1192054,"González-Orozco, Carlos E. and Diaz-Giraldo, Raul Alejandro and Rodriguez-Castañeda, Catalina",,,2571-581X,Frontiers in Sustainable Food Systems,,,,Frontiers Media SA,An early warning for better planning of agricultural expansion and biodiversity conservation in the Orinoco high plains of Colombia,http://dx.doi.org/10.3389/fsufs.2023.1192054,7,2023
10.1017/s1479262123000047,"González-Orozco, Carlos E. and Osorio-Guarín, Jaime A. and Yockteng, Roxana",,,1479-263X,Plant Genetic Resources: Characterization and Utilization,,3,203–214,Cambridge University Press (CUP),Phylogenetic diversity of cacao (Theobroma cacao L.) genotypes in Colombia,http://dx.doi.org/10.1017/S1479262123000047,20,2022
10.1111/ddi.13660,"González‐Orozco, Carlos E. and Parra‐Quijano, Mauricio",,,1472-4642,Diversity and Distributions,,2,224–231,Wiley,Comparing species and evolutionary diversity metrics to inform conservation,http://dx.doi.org/10.1111/ddi.13660,29,2022
10.1038/s41467-023-42671-y,"Guo, Wen-Yong and Serra-Diaz, Josep M. and Eiserhardt, Wolf L. and Maitner, Brian S. and Merow, Cory and Violle, Cyrille and Pound, Matthew J. and Sun, Miao and Slik, Ferry and Blach-Overgaard, Anne and Enquist, Brian J. and Svenning, Jens-Christian",,,2041-1723,Nature Communications,,1,,Springer Science and Business Media LLC,Climate change and land use threaten global hotspots of phylogenetic endemism for trees,http://dx.doi.org/10.1038/s41467-023-42671-y,14,2023
10.1093/botlinnean/boad002,"Mardones, Daniela and Scherson, Rosa A",,,1095-8339,Botanical Journal of the Linnean Society,,4,433–448,Oxford University Press (OUP),Hotspots within a hotspot: evolutionary measures unveil interesting biogeographic patterns in threatened coastal forests in Chile,http://dx.doi.org/10.1093/botlinnean/boad002,202,2023
10.1093/biolinnean/blac128,"McCurry, Matthew R and Park, Travis and Coombs, Ellen J and Hart, Lachlan J and Laffan, Shawn",,,1095-8312,Biological Journal of the Linnean Society,,4,470–480,Oxford University Press (OUP),Latitudinal gradients in the skull shape and assemblage structure of delphinoid cetaceans,http://dx.doi.org/10.1093/biolinnean/blac128,138,2023
10.1111/jse.13019,"Miller, Joseph T. and Prentice, Emily and Bui, Elisabeth N. and Knerr, Nunzio and Mishler, Brent D. and Schmidt‐Lebuhn, Alexander N. and González‐Orozco, Carlos and Laffan, Shawn",,,1759-6831,Journal of Systematics and Evolution,,6,957–966,Wiley,Banksia (Proteaceae) contains less phylogenetic diversity than expected in Southwestern Australia,http://dx.doi.org/10.1111/jse.13019,61,2023
10.1371/journal.pone.0292352,"Molina-Paniagua, María Eugenia and Alves de Melo, Pablo Hendrigo and Ramírez-Barahona, Santiago and Monro, Alexandre K. and Burelo-Ramos, Carlos Manuel and Gómez-Domínguez, Héctor and Ortiz-Rodriguez, Andrés Ernesto","Silva, Daniel de Paiva",,1932-6203,PLOS ONE,,10,e0292352,Public Library of Science (PLoS),How diverse are the mountain karst forests of Mexico?,http://dx.doi.org/10.1371/journal.pone.0292352,18,2023
10.3390/d15020306,"Nicolau, Gary K. and Edwards, Shelley",,,1424-2818,Diversity,,2,306,MDPI AG,Diversity and Endemism of Southern African Gekkonids Linked with the Escarpment Has Implications for Conservation Priorities,http://dx.doi.org/10.3390/d15020306,15,2023
10.3390/d15040522,"Ortiz-Brunel, Juan Pablo and Ochoterena, Helga and Moore, Michael J. and Aragón-Parada, Juvenal and Flores, Joel and Munguía-Lino, Guadalupe and Rodríguez, Aarón and Salinas-Rodríguez, María Magdalena and Flores-Olvera, Hilda",,,1424-2818,Diversity,,4,522,MDPI AG,Patterns of Richness and Endemism in the Gypsicolous Flora of Mexico,http://dx.doi.org/10.3390/d15040522,15,2023
10.1371/journal.pone.0287957,"Ramírez-Verdugo, Pamela and Tapia, Alexis and Forest, Félix and Scherson, Rosa A.","Bossart, Janice L.",,1932-6203,PLOS ONE,,7,e0287957,Public Library of Science (PLoS),Evolutionary diversity of the endemic genera of the vascular flora of Chile and its implications for conservation,http://dx.doi.org/10.1371/journal.pone.0287957,18,2023
10.11646/phytotaxa.609.3.2,"RUIZ-SANCHEZ, EDUARDO and MUNGUÍA-LINO, GUADALUPE and PIANISSOLA, EVANDRO MACHADO and ELY, FRANCISCA and CLARK, LYNN G.",,,1179-3155,Phytotaxa,,3,180–194,Magnolia Press,"Richness and endemism in Chusquea subg. Swallenochloa (Poaceae), a Neotropical subgenus adapted to temperate conditions",http://dx.doi.org/10.11646/phytotaxa.609.3.2,609,2023
10.17129/botsci.3299,"Villaseñor, José Luis and Ortiz, Enrique and Hernández-Flores, Mariana Mayte",,,2007-4298,Botanical Sciences,,4,1207–1221,"Botanical Sciences, Sociedad Botanica de Mexico, AC","The vascular plant species endemic or nearly endemic to Puebla, Mexico",http://dx.doi.org/10.17129/botsci.3299,101,2023
10.1016/j.gecco.2023.e02752,"Wang, Chuncheng and Zhu, Shanshan and Jiang, Xiaolong and Chen, Shaopeng and Xiao, Yizhe and Zhao, Yanghui and Yan, Yadan and Wen, Yafeng",,,2351-9894,Global Ecology and Conservation,,,e02752,Elsevier BV,Spatio-temporal variation of species richness and phylogenetic diversity patterns for spring ephemeral plants in northern China,http://dx.doi.org/10.1016/j.gecco.2023.e02752,48,2023
10.1016/j.isci.2023.107364,"Ye, Chao and Liu, Huiyuan and Qin, Haining and Shu, Jiangping and Zhou, Zhihua and Jin, Xiaohua",,,2589-0042,iScience,,8,107364,Elsevier BV,Geographical distribution and conservation strategy of national key protected wild plants of China,http://dx.doi.org/10.1016/j.isci.2023.107364,26,2023
